smiles,logP,RDKit logP
"COc1ccc([C@@H](C)NC(=O)Cc2cccc3ccccc23)cc1
",4.2683,4.2683000000000035
"O=C1C[C@H](c2nc(-c3cccnc3)no2)CN1c1cccc(Cl)c1
",3.3055,3.305500000000002
"C[C@H]1CCCN(c2ccc(C(=O)Nc3ccc(N4CCOCC4)cc3)cc2[N+](=O)[O-])C1
",3.92,3.9200000000000026
"C=CCN(C(=O)C/C=C/c1ccc(C)cc1)[C@@H]1CCS(=O)(=O)C1
",2.60002,2.6000200000000007
"O=C(CSc1nnc(-c2cccc([N+](=O)[O-])c2)o1)Nc1nncs1
",2.2271,2.2271
"CN(CCc1ccc(F)cc1)c1cc(Br)cc(F)c1C(N)=O
",3.5051,3.5051000000000014
"COc1ccccc1NC(=O)CSc1ccc(-c2ccccc2OC)nn1
",3.8916,3.891600000000003
"Cc1occc1C(=O)/C(C#N)=C\c1cccc(C(F)(F)F)c1
",4.3967,4.396700000000002
"COc1ccc2c(c1)N(C(=O)CCSc1ccccn1)C[C@@H](C)O2
",3.3865,3.3865000000000016
"CC[C@@H](NC(=O)[C@H](C)n1cccn1)c1ccc(C)c(F)c1
",3.15912,3.1591200000000015
"CCC[C@]1(C(=O)N[C@@H]2CONC2=O)CC[NH2+]C1
",-1.7138,-1.7137999999999969
"O=C(c1cc2cc([N+](=O)[O-])ccc2oc1=O)N1CCN(Cc2ccccc2)CC1
",2.6592,2.6592000000000002
"CCn1c(CC2CC[NH2+]CC2)nn(CCO)c1=O
",-1.4271,-1.4270999999999978
"C=CCn1c(S[C@H](C)C(=O)N2CCC(C)CC2)nnc1-c1ccc(Cl)cc1
",4.5236,4.523600000000004
"CCO[C@H]1C(=O)O[C@H]([C@@H](O)CO)C1=O
",-1.7608,-1.7608000000000004
"Cc1ccc(-c2nnc(C[NH+](CCO)[C@H]3CCc4ccccc43)o2)cc1
",2.1097200000000003,2.10972
"Cc1cc(-n2c(C)cc(C[NH2+][C@H](C)c3ccc(F)c(F)c3)c2C)no1
",3.49336,3.493360000000002
"C[C@@H](NC(=O)Nc1ccn(-c2ncccc2Cl)n1)[C@@H]1CCCO1
",2.6097,2.609700000000001
"COc1cc(S(=O)(=O)N2CCN=C2Cc2ccccc2)ccc1Cl
",2.9941,2.9941000000000013
"COc1ccc(OC)c(/C=C2\Oc3cc(OC(=O)c4ccncc4)cc(C)c3C2=O)c1
",4.24262,4.242620000000003
"COc1ccc([C@@H](NC(=O)Nc2cc(C)ccc2Cl)C2CCOCC2)cc1
",4.94642,4.946420000000003
"C[C@H](Cc1cccs1)N(C)C[C@@H]1CCCC[C@@H]1[NH3+]
",2.4116,2.4116
"C[C@H]([NH3+])c1nc2cc(C(F)(F)F)ccc2n1C
",1.895,1.895
"COc1cccc(CN2CCc3nnc(CCc4ccccc4)n3CC2)c1
",3.1302,3.130200000000002
"O=C(N[C@H]1CCS(=O)(=O)C1)C1CC[NH2+]CC1
",-1.7369,-1.7368999999999974
"COCC[C@H](C)C(=O)N[C@@H](C)COC
",0.8101,0.8100999999999998
"Cc1cc(N(C)C)ccc1NC(=O)c1ccc(CN2CC[NH+](C)CC2)cc1
",1.64362,1.6436200000000005
"C[C@H](CNC(=O)[C@H]1CC[NH2+][C@@H]1C)C[NH+]1CCCC1
",-1.6108,-1.6107999999999958
"CN(C)c1ccc([C@H](CNC(=O)C(=O)Nc2ccccc2C#N)N2CC[NH+](C)CC2)cc1
",0.25058,0.2505800000000018
"CCOc1ncnc(S(=O)(=O)CC)c1N
",0.2511,0.2511
"CC[C@@H](NC(=O)N(C)Cc1ccc(-c2ccccc2)cc1)c1ccncc1
",5.0413,5.041300000000004
"O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)[C@H]1CCCN1S(=O)(=O)c1ccc(F)cc1
",4.4257,4.4257000000000035
"CC[C@@H](C)CNc1nc2ccc(Cl)cc2s1
",4.4077,4.407700000000003
"Cc1cc(C)c2nc(N3CCN(C(=O)[C@@H]4CCCCN4S(C)(=O)=O)CC3)sc2c1
",2.37584,2.37584
"CCc1nnc(-c2cc3ccccc3n2CC(=O)NC(C)(C)C)o1
",3.1684,3.168400000000002
"CCc1ccc(NC(=O)c2nn(-c3ccc(CC)cc3)ccc2=O)cc1
",3.6096,3.609600000000002
"Cc1ccc(C(=O)N[C@H]2CCC[NH2+][C@H]2C)cc1F
",0.97822,0.9782200000000002
"C[C@H](OC(=O)c1nc(C2CC2)n2ccccc12)c1cnc2ccccc2c1
",4.6779,4.677900000000004
"CCCCOc1ccccc1C[C@@H]([NH3+])C(=O)[O-]
",-0.2316,-0.2315999999999988
"CCC[C@@H]1CN(C(=O)C(=O)Nc2ccc(C)nc2Cl)CCO1
",2.00942,2.0094199999999995
"C[C@H]1C(=O)N(c2ccc3c(c2)CCC3)CCN1C(=O)c1ccc(Cl)c(Cl)c1
",4.3596,4.359600000000004
"COC(=O)C1(NC(=O)[C@H]2C[C@H]2c2c(F)cccc2F)CCSCC1
",2.6233,2.6233000000000004
"N#CC1(NC(=O)COc2cccc(Cl)c2)CCCC1
",2.67138,2.671380000000001
"COC1CC[NH+](CCNc2nccn(C)c2=O)CC1
",-1.1141,-1.114099999999997
"C=CCN(Cc1cccc([N+](=O)[O-])c1)C(=O)Nc1cc(OC)ccc1Cl
",4.4769,4.476900000000003
"Cc1cc(Cl)ccc1OCC(=O)N/N=C/c1ccccn1
",2.57252,2.57252
"O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O
",0.1271,0.12710000000000016
"Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NCc3ccco3)cc1CC2
",1.93192,1.9319199999999992
"CCc1ccc(CNC(=O)c2ccc(-c3nccnc3N3CCCCC3)cc2)cc1
",4.6263,4.626300000000004
"COc1ccc([C@H]2C[C@@H](C(F)(F)F)n3nc(C(=O)NC4CCCCC4)cc3N2)cc1OC
",4.6231,4.6231000000000035
"CCCc1cc(C(=O)NNC(=O)c2cccc(Br)c2)[nH]n1
",2.1995,2.1995
"O=[N+]([O-])c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12
",4.7471,4.747100000000002
"CC(C)(C)n1ncc2c1CCC[C@H]2NC(=O)CSc1nc2ccccc2o1
",4.0652,4.065200000000003
"Cc1ccc([C@@H](C)NC(=O)N[C@@H](CCO)c2cccs2)cc1
",3.54042,3.540420000000002
"CCN(CC)S(=O)(=O)c1ccc2nc(-c3ccncc3)cc(C(=O)[O-])c2c1
",1.6908,1.6908
"CCCN(CC)c1cc[nH+]c(C(=O)[O-])c1
",0.1005,0.10049999999999987
"Cc1ccccc1N1C(=O)C[C@H]([NH+](C2CCCCC2)C2CCCCC2)C1=O
",3.17722,3.177220000000001
"CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl
",2.4354,2.4354000000000005
"C[C@H](CSc1ccc(C(=O)N(C)C)cn1)C(=O)[O-]
",0.2615,0.26150000000000007
"CCOC(=O)[C@H]1C=C(C#N)O[C@@H](c2ccc(C)cc2)C1
",3.0432,3.0432000000000015
"CCC[NH2+]C1CCC(O)(Cc2nc(C)cs2)CC1
",1.64112,1.6411199999999997
"O=C1c2ccccc2N[C@H](CSC2=NC=NC3=NC=N[C@@H]32)N1c1ccc(Cl)cc1
",3.721,3.721000000000002
"CCc1nc2ccccc2c(C(=O)NCc2ccc(OC)c(C(=O)OC)c2)c1C
",3.83082,3.8308200000000037
"Cc1nn(-c2nncc(-c3ccc(Cl)cc3)n2)c2c1[C@H](c1ccccc1)CC(=O)N2
",4.16022,4.160220000000003
"CC(C)NC(=O)Nc1cccc(C(=O)N(C)Cc2nnc(C3CC3)n2C)c1
",2.4946,2.4946
"Cc1nnccc1C(=O)N[C@H](C)c1ccc(Cl)s1
",2.99092,2.990920000000001
"O=C(NCCCc1nc(-c2ccc(Br)o2)no1)C1CC1
",2.5509,2.5509000000000013
"CCOc1cccc(NC(=O)CCc2ccc(N)cc2)c1
",3.2388,3.2388000000000012
"COc1ccc(/C=C2/SC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)cc1OC
",3.5179,3.517900000000002
"CC(C)N(C)C(=O)[C@H]1CSCN1C(=O)/C=C/SCc1ccco1
",2.7948,2.7948000000000013
"CCC1(CC)[C@@H](NC(=O)Nc2ccc(C(=O)NC)cc2)[C@H](C)[C@@H]1OC
",3.0074,3.0074000000000014
"Cc1ccc2ncc(C(=O)Nc3ncccc3OCc3ccncc3)n2c1
",3.26402,3.2640200000000013
"N#Cc1ccnc(N2CCC([NH2+]C[C@@H]3CCCO3)CC2)c1
",0.6644800000000001,0.6644799999999995
"O=C(Cn1nnn(-c2cccs2)c1=O)OC1CCCCC1
",1.3664,1.3663999999999996
"COc1cccc(COc2ccc(OC)cc2CCl)c1
",4.0216,4.021600000000003
"CC[C@H](NC(=O)NCc1c(C)noc1C)c1ccc(OC)cc1
",3.25054,3.2505400000000018
"CCc1c(C(=O)Nc2ccc3c(c2)NC(=O)CS3)[nH]c(C)c1C(C)=O
",3.3846199999999995,3.384620000000001
"CSc1ccc(/C=c2\sc3ncnn3c2=O)cc1
",1.4206,1.4205999999999996
"COc1ccc(C(=O)/C=C(\C)Nc2ccc(F)cc2F)cc1
",4.172,4.172000000000003
"O=C(C=C1CCSCC1)N[C@@H]1CCC[C@H]1Cc1ccccc1
",3.9674,3.967400000000003
"C[C@@H](Sc1nc(/C=C/c2cccs2)n[nH]1)C(=O)N1CCOCC1
",2.376,2.3760000000000003
"Cc1cccc(C(=O)N[C@@H](C(=O)N2CCC[C@@H](C)C2)C(C)C)c1
",3.00792,3.007920000000002
"COC(=O)[C@@H](C)Sc1nnc(Nc2cccc(Br)c2)s1
",3.6978,3.6978000000000018
"Cc1cnc(C(=O)Nc2ccc(N(C)C3CC[NH+](C)CC3)cc2)cn1
",1.15062,1.1506200000000002
"CC(=O)Nc1nc2ccc(NC(=O)NCc3ccccc3)cc2s1
",3.5764,3.5764000000000014
"C=CCN1C(=O)/C(=C/c2ccccc2F)S/C1=N\S(=O)(=O)c1cccs1
",3.7344,3.7344000000000026
"CC[C@H]1CC(=O)N(Cc2ccccc2C#CCCO)C1
",2.1790000000000003,2.1790000000000003
"COc1ccc(F)cc1C(=O)Nc1nccs1
",2.5431,2.5431
"CC[C@@H](CC(=O)NC1(C(=O)OC)CCSCC1)c1ccccc1
",3.1253,3.125300000000002
"Cc1ccc(C)c(-n2c(SCCCCCO)nc3ccccc3c2=O)c1
",4.25724,4.257240000000003
"CC[C@@H](C)[C@@H]([NH3+])c1ccc(Cl)s1
",2.7306,2.7306
"COc1cccc([C@@H](C)[NH2+]CCOc2ncccc2Cl)c1
",2.447,2.447
"CC[C@@H]1CCCCN1C(=O)NC1CCN(C(=O)OC(C)(C)C)CC1
",3.36,3.360000000000003
"CCOc1cccc(NC(=O)NCc2ccc(N3CCSCC3)cc2)c1
",3.9602,3.960200000000003
"Cc1cccc(NC(=O)CN2CCN(c3ccc4c(c3)OCCO4)C2=O)n1
",2.04192,2.04192
"C=C(C)C(=O)N[C@H](C)c1nc2ccccc2n1CCC(=O)N1CCCCCC1
",3.5823,3.5823000000000027
"CCOC[C@H]1CC[NH+](Cc2ccc(-c3nc4ccccc4s3)o2)C1
",2.9976,2.997600000000001
"CCOC(=O)[C@]1(Cc2cccc(Cl)c2)CCCN(C(=O)c2ccnn2C)C1
",3.1017,3.101700000000001
"Cc1ccc([N+](=O)[O-])cc1NC(=O)C(=O)N1CC[C@H]([NH+]2CCCC2)C1
",0.12132,0.12132000000000098
"CCOCCCNC(=O)N[C@@H]1CCC[C@@H](CC)C1
",2.681,2.681000000000001
"O=C(Cc1cccc(F)c1F)Nc1cccc(Br)n1
",3.3035,3.3035000000000014
"COc1ccccc1NC(=O)[C@@H]1CCCN(C(=O)Nc2cccs2)C1
",3.6393,3.639300000000002
"C[C@H]1CCC[C@](C#N)([C@]2(O)CCCCC2(C)C)C1
",4.0377800000000015,4.037780000000003
"O=C(NCc1ccc([N+]2=CCCC2)cc1)NC1(c2ccc(Cl)cc2)CC1
",4.3371,4.337100000000003
"CCCC(=O)N[C@@H]1CCC[NH+](Cc2ncccc2C)C1
",0.85362,0.8536200000000012
"O=C(NCc1cccs1)C1(c2cccc(Cl)c2)CCC1
",4.1396,4.139600000000002
"C[C@H]1CCC[C@H](NC(=O)[C@@H](C)Sc2ncn[nH]2)[C@@H]1C
",2.2262,2.2261999999999995
"COc1ccc([C@@H]([NH2+]Cc2ccc(Cl)nc2)c2ccc(F)cc2)cc1
",3.7357,3.7357000000000014
"COc1cc(NC(=O)[C@H](C)Sc2ccccc2Cl)cc(OC)c1
",4.4765,4.476500000000003
"CCN1CCC(=NNC(=O)c2ccccc2)CC1
",1.8881,1.8881000000000001
"CCCOc1ccc(Br)cc1C[NH+]1CCC([C@@H](C)O)CC1
",2.4136,2.4136000000000006
"Cc1cc2n(C[C@H](O)CO[C@H](c3ccccc3)c3ccccc3C)c(=O)c3ccccc3n2n1
",4.43314,4.433140000000003
"CCc1ncc(CN(C)C(=O)Nc2c(C)ccc([N+](=O)[O-])c2C)s1
",3.89444,3.894440000000002
"c1ccc2nc(NCCCc3nc4ccccc4[nH]3)cnc2c1
",3.5508,3.5508000000000015
"Cc1c([C@H](C)[NH2+]Cc2cccn2C)cnn1C
",0.8916200000000001,0.8916199999999992
"CC(=O)N[C@@H](C(=O)NC1COC1)C(C)C
",-0.3379,-0.3378999999999994
"O=C(Nc1ccccc1F)c1cc2ccccc2c2cccnc12
",4.7794,4.7794000000000025
"Cc1ccccc1N1C(=O)/C(=C/c2cccn2-c2cccc([N+](=O)[O-])c2)C([O-])=NC1=S
",3.16782,3.1678200000000016
"COCCN1C[C@H](C(=O)N(Cc2cccc(Cl)c2)C(C)C)CC1=O
",2.5719,2.5719000000000003
"COc1ccc(NC(=O)N2CCN(C(=O)Cc3csc4ccccc34)CC2)cc1OC
",3.8373,3.8373000000000026
"C#CCN(C[C@H]1CCCO1)C(=O)N[C@@H](C)c1cccc([N+](=O)[O-])c1
",2.4796,2.4796000000000005
"Cc1cccc(C2=CCN(C(=O)Nc3ccc(C(N)=O)c(Cl)c3)CC2)c1
",4.06852,4.068520000000002
"COCCCN1C(=O)c2ccc(C(=O)Nc3nc(-c4ccc(C)cc4)cs3)cc2C1=O
",4.00332,4.003320000000002
"O=S(=O)(Nc1ccc(N2CCCS2(=O)=O)cc1)c1ccc(F)c(Cl)c1
",2.8198,2.8198000000000008
"O=C1/C(=C/c2ccccc2)Oc2c1ccc1c2CN(Cc2cccs2)CO1
",4.7164,4.716400000000004
"CC[C@@H](C)[C@@H](NC(=O)c1cccc(F)c1)C(=O)N=c1[nH]c2ccccc2[nH]1
",2.9071,2.9071000000000007
"Cc1c(F)cc(N)cc1S(=O)(=O)N[C@@H](C)C1CC1
",1.79312,1.7931200000000003
"Cc1ccc(Cn2ncc3c(N)ncnc32)cc1
",1.76522,1.7652199999999998
"CCOC(=O)C(C)(C)c1nc(-c2ccccc2)no1
",2.5773,2.577300000000001
"CCOC(=O)c1sc(/C=C/c2nc3c(s2)CCC3)nc1C
",3.74382,3.743820000000003
"C[C@@H]1CC[C@@H]([NH2+]C2CCC(NS(C)(=O)=O)CC2)c2ccccc21
",2.0488,2.0488
"CN(C)S(=O)(=O)c1ccc(C(=O)N(C(=O)N2CCCCC2)c2ccccc2)cc1
",3.1896,3.189600000000002
"CC[NH2+][C@@H](CC)c1ccccc1OCc1cccc(F)c1
",3.4391,3.4391000000000025
"C=CCOC(=O)C1=C(C)N=C2S[C@H](C)C(=O)N2[C@H]1c1ccc(F)cc1
",3.2035,3.203500000000002
"CCC[NH2+][C@]1(C(=O)OCC)CC[C@H](n2cc(Cl)c(C)n2)C1
",1.84522,1.8452199999999994
"Cc1cc(NC(=O)CSc2nnc3c4ccccc4n(C)c3n2)ccc1Br
",4.318219999999998,4.318220000000003
"CCOC(=O)c1sc(NC(=O)c2ccc(-n3c(C)nc4ccccc4c3=O)cc2)cc1C
",4.4930400000000015,4.493040000000003
"CC#CCC(=O)C1([NH+](CC)CC)CCCC1
",1.2064,1.2063999999999993
"O=C(NCCCc1ccccc1)C1CCN(C(=O)[C@@H]2CC(=O)N(c3ccccc3)C2)CC1
",3.0271,3.0271000000000017
"O=Cc1ccc(OCc2ccn(-c3cccc(F)c3)n2)cc1
",3.4029,3.4029000000000025
"Clc1ccccc1Cn1ccnc1
",2.5848,2.5847999999999995
"Cc1[nH]c(=O)c(C(=O)N2CCN(c3ccccc3)C(=O)C2)c(C)c1C
",1.78916,1.7891599999999994
"C[C@@H](NC(=O)NC[C@H]1CCCN(c2ncccn2)C1)C1CCOCC1
",1.8073,1.807299999999999
"O=C(NCCS(=O)(=O)c1ccccc1)N1CCC[C@@H]2CCC[C@@H]21
",2.4344,2.434400000000001
"Cc1ccc(-c2cc(NC(=O)C(C)C)c(=O)n(CC(=O)Nc3cccc(C)c3)n2)cc1
",3.76034,3.760340000000002
"Cc1ccc(S(=O)(=O)N2CCN(C(=O)[C@H]3CCCC[C@@H]3C(=O)[O-])CC2)cc1C
",0.6926399999999999,0.6926400000000004
"CCc1ccc(-c2nc(C(=O)N3CCO[C@H](CC)C3)cs2)cc1
",3.6235,3.6235000000000026
"Cc1cc(C)cc(OCC(C)(C)C[NH2+]C2CC2)c1
",2.43424,2.434240000000001
"CCOC(=O)[C@H](F)[C@@]1(O)CCC[NH+](C(C)C)CC1
",0.0959,0.09590000000000032
"CCn1cc(/C=C/C(=O)c2ccc3ccccc3c2)cn1
",3.9523,3.952300000000003
"CCC(CC)C(=O)Nc1cnn(-c2ccccc2F)c1
",3.3861,3.3861000000000017
"O=C1O[C@H](C(=O)Nc2ccnc3ccnn23)Cc2ccccc21
",1.4495,1.4494999999999996
"COCCn1nnnc1[C@@H](C(C)C)N1CCSCC1
",1.0654,1.0653999999999997
"O=C(NCCNS(=O)(=O)c1cccc(Cl)c1F)c1cccnc1
",1.5824,1.5823999999999998
"Cc1ccc(CNC(=O)NCc2nnc3n2CCC3)s1
",1.59362,1.5936199999999996
"C/C=C/C[C@]1(C(=O)[O-])CCN(C(=O)OC(C)(C)C)C1
",1.3297,1.3296999999999994
"O=C(N[C@@H](CO)c1ccco1)c1cc(Cl)ccc1OC1CCCC1
",3.7178,3.717800000000002
"Cc1cc(N(C)C)ccc1NC(=O)c1c[nH]c2nccc(Cl)c12
",3.84302,3.843020000000002
"CCOC(=O)c1cccc(NC(=O)c2cn[nH]c2C)c1
",2.14712,2.14712
"CCC(CC)[S@](=O)CCC(=O)[O-]
",0.0637,0.06369999999999987
"COCc1ccc(C(=O)N(C)Cc2ccc(Cl)s2)cc1
",3.8201,3.8201000000000027
"O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1cc(Cl)c(Cl)cc1Cl
",4.4546,4.454600000000002
"CC[C@@H](C)NC(=O)c1ccc2c(c1)CCCN2S(C)(=O)=O
",1.9271,1.9271000000000003
"COc1ccc(C)cc1-n1nnnc1SCC(=O)Nc1cc(C)cc(C)c1
",3.32696,3.3269600000000015
"C[C@H](NC(=O)Cc1ccc[nH]1)C(=O)N1CCCC[C@H]1C
",1.4629,1.4628999999999996
"CCOC(=O)[C@H]1CCCN(C(=O)c2cc(C(C)C)n(C)n2)C1
",1.9588,1.9588
"C[C@H]([NH2+]Cc1nc(Cc2ccccc2)no1)[C@@H](C)n1cccn1
",1.57,1.569999999999999
"c1cc(CN2CC[NH+](Cc3ccc4c(c3)OCCO4)CC2)no1
",0.3465,0.34650000000000025
"CCCCNC(=O)CCc1c(C)nc2c3ccccc3nn2c1C
",3.34824,3.3482400000000023
"O=C(C[C@@H]1C[NH2+]CCO1)N[C@H]1C=CS(=O)(=O)C1
",-2.2344,-2.2343999999999973
"C[C@@H]1CCO[C@@H]1C(=O)N1CC[C@H](C(N)=O)c2ccccc21
",1.4172,1.4172000000000002
"CCC[NH2+][C@H](Cc1nn(C)c2ccccc12)c1ncc[nH]1
",1.5536,1.5535999999999994
"CC(C)c1noc(-c2cc[nH+]c(N3CCN(C(=O)[C@H]4C[C@H]4C)CC3)c2)n1
",1.9787,1.9787
"O=C(NCc1cccnc1)NCc1ccnc(OCC(F)F)c1
",2.1199,2.1199000000000003
"C[C@@H](NC(=O)N1CCCCCCC1)[C@@H]1CCCO1
",2.5296,2.529600000000001
"COc1ccc([C@H]2C(C(=O)NCc3ccccc3)=C(C)Nc3ncnn32)cc1OC
",2.9006,2.9006000000000007
"Cc1cc(=O)n2c(n1)SC[C@@H]2CC(=O)NCCC(C)C
",1.75092,1.7509199999999996
"CC(C)C1=CN=N[C@H]1[C@H]1CCC[NH+](C[C@@H](C)Cc2ccc3c(c2)OCO3)C1
",3.2631,3.2631000000000014
"COc1cc(CNC(=O)c2occc2Br)ccn1
",2.3757,2.3757
"Cc1cccc(COc2ccc(Br)cc2/C=C2\SC(=S)NC2=O)c1
",4.82532,4.825320000000003
"O=C(N[C@@H]1CCO[C@@H]1c1ccc(Cl)c(F)c1)[C@H]1Cc2ccccc2O1
",3.429,3.429000000000002
"Cc1ccc([C@]2([NH3+])CC[C@@H]2C)cc1
",1.86212,1.8621199999999998
"O=C(CNC(=O)c1ccco1)OCC(=O)c1ccc2ccccc2c1
",2.5887,2.588700000000001
"O=C(c1cc2c(F)cccc2[nH]1)N(C[C@@H]1CCCO1)c1ccncc1
",3.5278,3.527800000000002
"Cc1cc(C)c(NC(=O)c2cc3ccccc3n2C)c(C)c1
",4.35586,4.355860000000003
